Food consumption,,,,,,
Dietary Energy Consumption (kcal/person/day),,,,,,
Country Code,Country name,,1990-92,1995-97,2000-02,2005-07
147,Namibia,,2060  ,2100  ,2290  ,2350  
149,Nepal,,2190  ,2210  ,2260  ,2350  
150,Netherlands,,3280  ,3280  ,3230  ,3240    
153,New Caledonia,not in SOFI,2810  ,2740  ,2780  ,2790  
156,New Zealand,,3210  ,3170  ,3130  ,3150  
157,Nicaragua,,1770  ,1970  ,2250  ,2400  
158,Niger,,1970  ,1980  ,2150  ,2310  
159,Nigeria,,2310  ,2530  ,2560  ,2710  
162,Norway,,3230  ,3280  ,3400  ,3460  
165,Pakistan,,2210  ,2340  ,2270  ,2250  
166,Panama,,2320  ,2290  ,2330  ,2450  
169,Paraguay,,2390  ,2590  ,2640  ,2620  
170,Peru,,2110  ,2260  ,2340  ,2430  
171,Philippines,,2230  ,2340  ,2400  ,2520  
173,Poland,,3330  ,3310  ,3410  ,3400  
174,Portugal,,3400  ,3490  ,3580  ,3580  
117,Republic of Korea,,2970  ,3050  ,3050  ,3070  
146,Republic of Moldova,,2880  ,2640  ,2680  ,2910  
183,Romania,,2990  ,3080  ,3270  ,3510  
185,Russian Federation,,2960  ,2870  ,2980  ,3270  
184,Rwanda,,1830  ,1730  ,1980  ,2050  
188,Saint Kitts and Nevis,not in SOFI,2580  ,2430  ,2500  ,2450  
189,Saint Lucia,not in SOFI,2580  ,2680  ,2680  ,2740  
191,Saint Vincent and the Grenadines,not in SOFI,2360  ,2370  ,2630  ,2810  
244,Samoa,not in SOFI,2550  ,2520  ,2810  ,2880  
193,Sao Tome and Principe,not in SOFI,2230  ,2230  ,2450  ,2660  
194,Saudi Arabia,,2850  ,2940  ,3010  ,3130  
195,Senegal,,2190  ,2140  ,2140  ,2320  
186,Serbia and Montenegro,,2850  ,2970  ,2630  ,2710  
196,Seychelles,not in SOFI,2280  ,2320  ,2390  ,2430  
197,Sierra Leone,,1950  ,2060  ,1990  ,2130  
199,Slovakia,,2900  ,2910  ,2790  ,2880  
198,Slovenia,,2900  ,2990  ,3060  ,3220  
25,Solomon Islands,not in SOFI,2120  ,2320  ,2360  ,2430  
202,South Africa,,2820  ,2810  ,2900  ,2990  
203,Spain,,3340  ,3320  ,3370  ,3270  
38,Sri Lanka,,2170  ,2250  ,2360  ,2390  
206,Sudan,,1960  ,2100  ,2140  ,2270  
207,Suriname,,2440  ,2490  ,2430  ,2470  
209,Swaziland,,2380  ,2190  ,2290  ,2310  
210,Sweden,,2990  ,3080  ,3110  ,3120  
211,Switzerland,,3370  ,3320  ,3400  ,3420  
212,Syrian Arab Republic,,2830  ,2980  ,3030  ,3050  
208,Tajikistan,,2020  ,1940  ,1900  ,2130  
216,Thailand,,2250  ,2430  ,2450  ,2530  
154,The former Yugoslav Republic of Macedonia,,2550  ,2640  ,2770  ,2980  
176,Timor-Leste,not in SOFI,1940  ,2010  ,2020  ,2020  
217,Togo,,1890  ,2010  ,2030  ,2150  
220,Trinidad and Tobago,,2610  ,2570  ,2700  ,2710  
222,Tunisia,,3120  ,3220  ,3250  ,3310  
223,Turkey,,3590  ,3500  ,3450  ,3480  
213,Turkmenistan,,2550  ,2560  ,2630  ,2750  
226,Uganda,,2280  ,2200  ,2280  ,2250  
230,Ukraine,,3040  ,2850  ,2980  ,3230  
225,United Arab Emirates,,3160  ,3130  ,3120  ,3140  
229,United Kingdom,,3240  ,3260  ,3410  ,3440  
215,United Republic of Tanzania,,2110  ,1930  ,1950  ,2020  
231,United States of America,,3510  ,3570  ,3720  ,3770  
234,Uruguay,,2660  ,2740  ,2800  ,2820  
235,Uzbekistan,,2650  ,2670  ,2320  ,2530  
155,Vanuatu,not in SOFI,2530  ,2590  ,2630  ,2720  
236,Venezuela (Bolivarian Republic of),,2460  ,2390  ,2420  ,2610  
237,Viet Nam,,2090  ,2310  ,2520  ,2770  
249,Yemen,,1980  ,1980  ,2010  ,2030  
251,Zambia,,2010  ,1970  ,1890  ,1890  
181,Zimbabwe,,1980  ,1940  ,2010  ,2210  
